feature,importance
zone_9_encoded,0.827738109650538
strikes,0.06228582041966631
pitch_type_clean_encoded,0.03267649923272035
velocity_delta_1,0.016242951517007286
balls,0.014565979108409371
prev_velocity_1,0.013383031645203346
prev_zone_1_encoded,0.0065833795925665925
inning,0.005266183780310557
prev_reward_1,0.004837078581081592
prev_zone_2_encoded,0.004596098258598566
prev_pitch_type_2_encoded,0.00259766053948681
prev_pitch_type_1_encoded,0.0024796319344633487
on_1b,0.0016443586094370892
outs_when_up,0.0015828006777699418
on_2b,0.0012486627212682537
on_3b,0.0008901050762138267
repeat_pitch_1,0.0008452681470565391
repeat_zone_1,0.0005363805082022662
